Customer ID,Cust Since,City,State,Zip,Active?,Sales Rep,Sales Acct,LEAD SOURCE
ANDE,5/14/10,SHAWNEE,KS,66218,Active,GEORGE,30200,
ANDEA,6/29/03,BONNER SPRINGS,KS,66012,Active,TOM,30200,
ANDEC,7/15/13,OLATHE,KS,66062,Active,SVC,30400,
ANDED,3/31/03,PRAIRIE VILLAGE,KS,66207,Active,SVC,30400,
ANDEL,3/27/07,BONNER SPRINGS,KS,66012,Inactive,,30400,
ANDER,8/4/05,LEAWOOD,KS,66206,Active,LARRY,30200,
ANDERS,12/3/07,KANSAS CITY,MO,64112,Active,,30200,
ANDES,11/13/03,OLATHE,KS,66062,Inactive,,30400,
ANDM,2/6/02,MISSION HILLS,KS,66208,Inactive,,30200,
ANDN,6/23/15,LEAWOOD,KS,66206,Active,COLE,30200,
ANDR,9/29/11,LENEXA,KS,66219,Active,ERICD,30200,
ANDRC,4/7/03,OVERLAND PARK,KS,66213,Inactive,,30200,
ANDRCL,5/9/06,LENEXA,KS,66219,Inactive,,30200,
ANDREWS,8/23/10,LENEXA,KS,66215,Inactive,,30200,
ANDRG,8/3/06,KANSAS CITY,MO,64108,Active,,30200,
ANDRL,11/4/11,LEAWOOD,KS,66206,Active,GABE,30200,
ANDT,1/24/05,SHAWNEE,KS,66226,Active,SVC,30200,
ANGEL,12/12/06,OVERLAND PARK,KS,66212,Active,,30200,
ANST,9/7/11,LEAWOOD,KS,66209,Active,TOM,30200,
ANTO,4/10/15,OLATHE,KS,66062,Active,TOM,30200,
APOLLO,8/11/03,MISSION,KS,66201,Active,,30200,
APPT,1/5/98,OLATHE,KS,66062,Active,TOM,30200,
ARAA,4/6/05,MISSION HILLS,KS,66208,Active,SVC,30200,
ARAN,12/8/05,LEAWOOD,KS,66209,Active,SVC,30200,
ARCHKS,9/8/03,KANSAS CITY,KS,66109,Active,,30200,
ARCHM,9/8/03,LENEXA,KS,66219,Inactive,,30200,
ARDI,8/21/08,SHAWNEE,KS,66216,Inactive,,30200,
ARMG,7/6/06,SHAWNEE,KS,66216,Inactive,,30200,
ARMSD,4/16/03,OVERLAND PARK,KS,66214,Active,SVC,30200,
ARNK,9/23/05,PRAIRIE VILLAGE,KS,66208,Inactive,,30200,
ARNO,7/8/03,KANSAS CITY,MO,64145,Inactive,,30200,
ARNOF,6/9/11,KANSAS CITY,MO,64145,Inactive,,30200,
ARNS,9/30/05,OVERLAND PARK,KS,66214,Active,SVC,30200,
ARRA,4/2/15,OVERLAND PARK,KS,66213,Inactive,TOM,30200,
ARRIP,8/27/04,KANSAS CITY,MO,64133,Active,LARRY,30200,
ARROT,3/4/05,OVERLAND PARK,KS,66209,Inactive,,30200,
ARTD,8/13/99,LEAWOOD,KS,66209,Inactive,,30100,
ARTH,8/25/14,OVERLAND PARK,KS,66214,Inactive,TOM,30200,ANGIES LIST
ASHJ,6/3/03,FAIRWAY,KS,66205,Inactive,,30200,
ASHT,8/8/08,KANSAS CITY,MO,64131,Active,ERICD,30200,
ASSA,4/17/09,LENEXA,KS,66215,Active,GEORGE,30200,
ASSI,5/22/17,KANSAS CITY,KS,66106,Active,GABE,30200,
ATKEJ,11/25/03,OVERLAND PARK,KS,66221,Inactive,,30400,
AUDL,7/2/19,OLATHE,KS,66062,Active,TOM,30200,
AUOR,12/17/18,SPRING HILL,KS,66083,Active,GABE,30200,
AUST,11/11/14,LEAWOOD,KS,66224,Active,TOM,30200,
AVAZ,8/11/03,OVERLAND PARK,KS,66213,Active,SVC,30200,
AVENT,7/5/07,OLATHE,KS,66062,Active,SVC,30200,
AVERL,10/3/02,OVERLAND PARK,KS,66224,Inactive,,30200,
AWL-6950,1/14/11,Tulsa,OK,74104-4909,Active,TOM,30900,
AYER,10/23/06,OVERLAND PARK,KS,66223,Inactive,TOM,30200,
AYERA,7/10/17,OVERLAND PARK,KS,66223,Active,GABE,30200,
AZZIB,4/16/03,OVERLAND PARK,KS,66221,Inactive,,30200,
BABB,4/18/05,LEAWOOD,KS,66224,Active,TOM,30200,
BACH,1/14/22,KANSAS CITY,MO,64111,Active,SNOW,30800,
BACK,9/29/11,OLATHE,KS,66061,Active,GABE,30200,
BADE,9/20/13,OLATHE,KS,66061,Active,LARRY,30200,
BADK,1/5/98,OVERLAND PARK,KS,66221,Active,TOM,30200,
BAEH,7/15/11,OVERLAND PARK,KS,66209,Inactive,,30200,
BAHR,10/11/05,OVERLAND PARK,KS,66221,Inactive,,30200,
BAIL,5/17/12,LEE'S SUMMIT,MO,64064,Active,LARRY,30200,
BAILW,8/13/13,LANSING,KS,66043,Active,THAYNE,30200,
BAIN,11/13/06,LAKE QUIVERA,KS,66217,Active,GEORGE,30200,
BAIR,11/10/05,KANSAS CITY,MO,64155,Inactive,,30200,
BAJRH,3/3/03,LENEXA,KS,66219,Inactive,,30300,
BAKD,11/15/10,LENEXA,KS,66220,Inactive,,30200,
BAKED,4/10/17,OVERLAND PARK,KS,66223,Active,TOM,30200,
BAKEJ,4/19/21,Shawnee,KS,66226,Active,GABE,30200,
BAKER,6/23/03,LEAWOOD,KS,66206,Active,SVC,30200,
BAKW,8/1/18,KANSAS CITY,MO,64116,Active,SVC,30400,
BALB,4/29/03,LEE'S SUMMIT,MO,64064,Inactive,,30200,
BALDJ,11/19/04,OLATHE,KS,66062,Inactive,,30200,
BALDS,11/8/16,OVERLAND PARK,KS,66221,Active,MIKEHU,30200,
BALED,3/31/03,SHAWNEE MISSION,KS,66202,Active,LARRY,30200,
BALK,11/8/07,KANSAS CITY,MO,64112,Active,LARRY,30200,
BALLB,4/27/07,LOCH LLOYD,MO,64012,Inactive,,30200,
BALLM,6/11/05,LEAWOOD,KS,66209,Inactive,,30200,
BALT,8/1/18,KANSAS CITY,MO,64105,Active,LARRY,30200,
BALT-9TH,1/20/21,KANSAS CITY,MO,64105,Active,SVC,30400,
BANG,5/28/09,LEAWOOD,KS,66211,Active,SCOTT,30200,
BANGS,7/1/11,LENEXA,KS,66227,Active,GABE,30200,
BANJ,9/27/01,LENEXA,KS,66215,Active,TOM,30200,
BANK,3/10/06,OVERLAND PARK,KS,66221,Active,LARRY,30200,
BANKW,1/17/07,,,,Active,,30200,
BANN,7/12/05,OVERLAND PARK,KS,66213,Inactive,,30200,
BARAN,6/2/10,OVERLAND PARK,KS,66215,Active,TOM,30200,
BARAR,5/2/03,OVERLAND PARK,KS,66214,Active,SVC,30200,
BARB,5/11/11,OVERLAND PARK,KS,66214,Active,TOM,30200,
BARBD,4/21/04,LENEXA,KS,66220,Inactive,,30200,
BARBE,4/18/05,KANSAS CITY,MO,64145,Active,SVC,30200,
BARBL,4/16/03,BELTON,MO,64012,Inactive,,30200,
BARBO,6/17/14,OLATHE,KS,66062,Active,THAYNE,30200,REFERRAL
BARBV,4/18/05,LENEXA,KS,66220,Active,TOM,30200,
BARC,11/4/05,KANSAS CITY,MO,64154,Inactive,,30200,
BARD,7/26/06,LAKE QUIVERA,KS,66217,Active,GEORGE,30200,
BARDO,5/8/08,SHAWNEE,KS,66216,Active,SCOTT,30200,
BARG,7/5/17,FAIRWAY,KS,66205,Active,SVC,30400,
BARIK,3/2/21,SHAWNEE,KS,66216,Active,GABE,30200,
BARK,11/4/05,KANSAS CITY,KS,66109,Inactive,,30200,
BARKH,9/15/14,GARDNER,KS,66030,Inactive,TOM,30200,
BARNC,11/18/03,RAYMORE,MO,64083,Active,,30300,
BARND,8/10/09,LENEXA,KS,66219,Active,TOM,30200,
BARNH,11/14/17,OVERLAND PARK,KS,66221,Active,TOM,30200,
BARR,4/22/99,LEAWOOD,KS,66224,Inactive,,30200,
BARRD,8/3/12,OVERLAND PARK,KS,66210,Active,THAYNE,30200,
BARRY,10/29/07,LEAWOOD,KS,66206,Inactive,TOM,30200,
BARS,8/20/98,LEAWOOD,KS,66223,Inactive,,30200,
BARTM,7/20/17,KANSAS CITY,MO,64113,Active,SVC,30400,
BARTT,11/9/06,OVERLAND PARK,KS,66210,Inactive,,30200,
BASC,8/2/13,LENEXA,KS,66210,Active,THAYNE,30200,
BASI,5/31/11,SHAWNEE,KS,66226,Active,TOM,30200,
BASS,4/1/19,OLATHE,KS,66061,Active,GABE,30200,
BAST,6/6/08,OVERLAND PARK,KS,66212,Active,TOM,30200,
BASTK,9/23/11,LEAWOOD,KS,66206,Inactive,,30400,
BATEJ,11/13/08,PRAIRIE VILLAGE,KS,66208,Inactive,,30200,
BATES,10/10/07,KANSAS CITY,MO,64133,Inactive,,30200,
BATH,5/8/14,MISSION,KS,66202,Active,THAYNE,30200,WEBSITE
BATT,11/9/16,OVERLAND PARK,KS,66212,Active,MIKEHU,30200,
BATY,7/20/21,OVERLAND PARK,KS,66221,Active,GABE,30200,
BATZ,3/30/17,KANSAS CITY,MO,64112,Active,GABE,30200,
BAUE,11/15/13,OVERLAND PARK,KS,66223,Active,SVC,30200,
BEAC,1/5/98,PRAIRIE VILLAGE,KS,66207,Active,TOM,30200,
BEALC,4/20/04,SHAWNEE,KS,66226,Inactive,,30200,
BEAT,1/23/06,OVERLAND PARK,KS,66223,Inactive,,30200,
BEAV,3/28/12,PRAIRIE VILLAGE,KS,66207,Active,GABE,30200,
BEAVB,6/11/05,OVERLAND PARK,KS,66221,Inactive,,30200,
BEBE,6/19/13,SHAWNEE,KS,66216,Active,THAYNE,30200,
BECHK,4/12/05,OVERLAND PARK,KS,66207,Active,TOM,30200,
BECK,8/9/05,LEAWOOD,KS,66211,Inactive,,30200,
BECKG,5/15/06,OVERLAND PARK,KS,66223,Inactive,,30200,
BECKL,9/20/13,KANSAS CITY,MO,64114,Active,THAYNE,30200,
BECKM,3/20/03,OVERLAND PARK,KS,66213,Inactive,,30200,
BECKT,4/29/20,Shawnee,KS,66217,Active,GABE,30200,
BECKV,6/5/07,OVERLAND PARK,KS,66213,Active,LARRY,30300,
BEER,5/25/05,SHAWNEE,KS,66216,Active,SCOTT,30200,
BEGG,8/16/18,SHAWNEE,KS,66226,Active,GABE,30200,
BEGGC,7/27/04,STILWELL,KS,66085,Inactive,,30200,
BEHRE,4/8/09,LENEXA,KS,66215,Active,TOM,30200,
BEHRK,6/1/04,LEAWOOD,KS,66211,Inactive,,30200,
BEIL,3/16/16,OVERLAND PARK,KS,66210,Active,MIKEHU,30200,
BELA,10/27/15,OVERLAND PARK,KS,66213,Active,COLE,30200,
BELJ,9/7/98,OVERLAND PARK,KS,66207,Inactive,TOM,30200,
BELL,1/2/19,SHAWNEE,KS,66226,Active,GABE,30200,
BELP,9/16/01,OVERLAND PARK,KS,66223,Inactive,,30200,
BEMT,4/30/03,OVERLAND PARK,KS,66223,Active,SVC,30200,
BENDW,3/21/03,LEE'S SUMMIT,MO,64064,Inactive,,30400,
BENEB,8/6/19,OVERLAND PARK,KS,66213,Active,SVC,30400,
BENET,11/17/03,OLATHE,KS,66062,Inactive,,30400,
BENJ,4/30/10,SHAWNEE,KS,66216,Inactive,,30200,
BENJG,5/19/14,LENEXA,KS,66215,Active,TOM,30200,YP
BENN,4/11/08,KEARNEY,MO,64060,Inactive,,30200,
BENSA,1/19/10,KANSAS CITY,MO,64111,Active,SNOW/GEORGE,30800,
BENSB,8/3/09,OLATHE,KS,66061,Active,,30200,
BENSC,11/20/06,KANSAS CITY,MO,64125,Active,,30200,
BENT,11/17/05,SHAWNEE,KS,66218,Inactive,,30200,
BERGG,6/1/06,LENEXA,KS,66220,Inactive,,30200,
BERGJ,6/4/07,SHAWNEE,KS,66226,Inactive,,30200,
BERGK,5/13/04,OVERLAND PARK,KS,66224,Inactive,,30200,
BERGT,4/18/06,LENEXA,KS,66220,Inactive,,30200,
BERJ,10/25/04,DESOTO,KS,66018,Active,SVC,30200,
BERK,11/9/16,OVERLAND PARK,KS,66213,Active,TOM,30200,
BERL,1/10/98,OVERLAND PARK,KS,66210,Inactive,,30200,
BERLD,6/18/09,PRAIRIE VILLAGE,KS,66208,Inactive,,30200,
BERM,1/10/98,OVERLAND PARK,KS,66213,Inactive,,30200,
BERME,4/2/10,PLEASANT HILL,MO,64080,Inactive,GABE,30200,
BERMJ,10/19/12,LEE'S SUMMIT,MO,64064,Active,GABE,30200,
BERN,9/25/02,LEAWOOD,KS,66206,Inactive,,30200,
BERNS,8/13/13,OVERLAND PARK,KS,66212,Active,THAYNE,30200,
BERR,10/25/05,OVERLAND PARK,KS,66223,Inactive,,30200,
BERRJ,6/11/12,KANSAS CITY,MO,64113,Active,THAYNE,30200,
BERRM,8/22/14,OVERLAND PARK,KS,66223,Active,GABE,30200,
BERRY,3/23/17,SHAWNEE,KS,66217,Active,LARRY,30200,
BESL,5/13/13,OVERLAND PARK,KS,66221,Active,GABE,30200,
BESSD,11/4/04,OLATHE,KS,66062,Active,SVC,30200,
BEST,12/5/07,OVERLAND PARK,KS,66085,Inactive,,30200,
BETR,4/21/00,OVERLAND PARK,KS,66223,Inactive,,30200,
BETZ,6/12/06,LEAWOOD,KS,66209,Active,SVC,30200,
BETZT,7/28/15,OVERLAND PARK,KS,66210,Inactive,TOM,30200,
BEUS,10/20/05,LENEXA,KS,66215,Active,TOM,30200,
BEVES,9/12/03,PRAIRIE VILLAGE,KS,66207,Inactive,,30200,
BFHOMES,10/14/05,LEAWOOD,KS,66209,Active,,30200,
BFS,1/10/17,NEWARK,NJ,07102-9998,Active,GABE,30900,
BHAT,10/20/09,OVERLAND PARK,KS,66221,Inactive,,30200,
BHPLUM,8/4/04,OVERLAND PARK,KS,66214,Inactive,,30200,
BIANM,10/7/98,OVERLAND PARK,KS,66221,Active,TOM,30200,
BICK,5/13/03,,,,Active,,30200,
BICKM,6/7/18,OVERLAND PARK,KS,66213,Active,GABE,30200,
BIDD,6/11/07,MISSION,KS,66202,Active,SCOTT,30200,
BIER,10/20/06,OVERLAND PARK,KS,66221,Inactive,,30200,
BIERL,9/10/13,SHAWNEE,KS,66218,Inactive,TOM,30200,
BIESK,3/31/03,SHAWNEE,KS,66218,Active,SVC,30400,
BIGGS,8/24/10,KANSAS CITY,MO,64137,Active,SCOTT,30200,
BILL,9/15/06,LEAWOOD,KS,66211,Active,TOM,30200,
BILYM,3/24/03,OVERLAND PARK,KS,66209,Active,SVC,30400,
BING,5/14/03,OLATHE,KS,66061,Inactive,,30200,
BINS,11/27/17,OVERLAND PARK,KS,66213,Active,TOM,30200,
BIRKE,5/4/05,PRAIRIE VILLAGE,KS,66208,Inactive,,30200,
BIRN,5/7/15,PRAIRIE VILLAGE,KS,66207,Active,TOM,30200,
BISCE,8/22/05,LEAWOOD,KS,66209,Inactive,,30200,
BISHA,11/10/03,LEAWOOD,KS,66209,Active,SVC,30400,
BISHB,9/17/20,Overland Park,KS,66213,Active,TOM,30200,
BISHD,11/9/16,OLATHE,KS,66061,Active,GABE,30200,
BLACD,11/1/06,SHAWNEE,KS,66217,Active,GEORGE,30200,
BLACK,6/21/06,LEAWOOD,KS,66206,Inactive,,30200,
BLACKM,4/3/07,PRAIRIE VILLAGE,KS,66206,Active,GEORGE,30200,
BLACKS,7/12/06,LEAWOOD,KS,66208,Active,SNOW/GEORGE,30900,
BLANC,3/24/03,PRAIRIE VILLAGE,KS,66207,Active,SCOTT,30200,
BLAR,10/3/11,KANSAS CITY,MO,64113,Inactive,TOM,30200,
BLAS,7/17/06,SHAWNEE,KS,66203,Active,,30200,
BLASC,8/18/06,LENEXA,KS,66220,Active,LARRY,30200,
BLAST,1/24/19,KANSAS CITY,MO,64108,Active,SNOW,30800,
BLAZ,11/9/16,MISSION HILLS,KS,66208,Active,GABE,30200,
BLDG 1B,7/21/08,OVERLAND PARK,KS,66210,Active,GCP3,30900,
BLEAD,8/15/01,MISSION HILLS,KS,66208,Inactive,,30100,
BLED,5/8/08,LEAWOOD,KS,66206,Active,TOM,30200,
BLESS,11/13/06,LENEXA,KS,66220,Inactive,,30200,
BLIS,10/8/09,LENEXA,KS,66219,Active,SCOTT,30200,
BLIVB,4/29/20,Kansas City,MO,64113,Active,GABE,30200,
BLOC,1/13/03,LEAWOOD,KS,66224,Inactive,,30200,
BLOCK,9/22/11,MISSION HILLS,KS,66208,Active,GABE,30200,
BLOE,11/8/16,OVERLAND PARK,KS,66213,Active,MIKEHU,30200,
BLOMD,9/26/08,PRAIRIE VILLAGE,KS,66208-1350,Active,GEORGE,30200,
BLOMK,8/18/04,LEAWOOD,KS,66209,Inactive,,30200,
BLOO,10/28/10,OVERLAND PARK,KS,66213,Active,GABE,30200,
BLOOM,6/6/05,LEAWOOD,KS,66209,Inactive,,30200,
BLOU,12/11/01,KANSAS CITY,MO,64113,Inactive,,30100,
BLUE,10/17/05,OVERLAND PARK,KS,66223,Active,,30200,
BLUEH,3/22/12,SHAWNEE,KS,66227,Active,DAVIDA,30200,
BLUER,5/18/06,OLATHE,KS,66061,Active,LARRY,30200,
BOARD,11/3/09,KANSAS CITY,M0,64113,Active,,30200,
BOAT,12/14/16,LEAWOOD,KS,66206,Active,SVC,30400,
BOB,5/25/07,OVERLAND PARK,KS,66204,Active,LARRY,30200,
BOCK,3/17/06,OLATHE,KS,66062,Inactive,,30200,
BOCKK,11/4/13,SHAWNEE,KS,66226,Active,THAYNE,30200,
BOCKW,3/23/07,SHAWNEE,KS,66217,Inactive,,30500,
BODDD,4/18/03,KANSAS CITY,MO,64113,Inactive,,30200,
BODE,10/12/07,KANSAS CITY,MO,64113,Active,GEORGE,30200,
BOEH,7/30/12,OVERLAND PARK,KS,66207,Active,GABE,30200,
BOGNH,8/31/20,Overland Park,KS,66210,Active,TOM,30200,
BOHA,5/23/12,HARRISONVILLE,MO,64701,Inactive,GABE,30200,
BOIC,3/14/11,LEE'S SUMMIT,MO,64082,Active,GABE,30200,
BOKE,10/12/11,OLATHE,KS,66062,Inactive,,30200,
BOKER,6/14/12,LEAWOOD,KS,66209,Inactive,GABE,30200,
BOLB,2/24/16,LENEXA,KS,66219,Active,LARRY,30200,
BOLLR,3/25/04,PRAIRIE VILLAGE,KS,66208,Inactive,,30200,
BOLT,4/29/03,OVERLAND PARK,KS,66214,Active,SVC,30200,
BOLTE,11/17/05,OLATHE,KS,66062,Active,SCOTT,30200,
BOND,11/10/14,OLATHE,KS,66061,Active,GABE,30200,ANGIES BIG DEAL
BONDR,7/6/15,OLATHE,KS,66062,Active,GABE,30200,
BONF,1/24/19,KANSAS CITY,MO,64108,Active,SNOW,30800,
BONR,5/9/07,SHAWNEE,KS,66216,Inactive,,30200,
BOOH,7/6/06,OVERLAND PARK,KS,66213,Active,SCOTT,30200,
BOOK,12/1/08,LENEXA,KS,66220,Inactive,,30200,
BOOKM,5/31/12,SHAWNEE,KS,66226,Inactive,,30200,
BOOL,10/1/19,OVERLAND PARK,KS,66213,Active,GABE,30200,
BOOM,12/22/06,,,,Active,,30200,
BOON,10/17/08,SHAWNEE,KS,66226,Active,SVC,30200,
BOONK,5/14/15,SHAWNEE,KS,66227,Inactive,GABE,30200,ANGIES LIST
BOOS,11/3/05,OLATHE,KS,66062,Active,SVC,30200,
BOOT,4/29/05,LENEXA,KS,66220,Inactive,,30200,
BOOTM,5/20/20,OVERLAND PARK,KS,66212,Active,GABE,30200,
BORAD,1/17/05,LENEXA,KS,66219,Active,LARRY,30200,
BORD,6/11/02,LEAWOOD,KS,66209,Inactive,,30200,
BORG,5/14/19,PRAIRIE VILLAGE,KS,66208,Active,TOM,30200,
BORI,10/13/11,OVERLAND PARK,KS,66213,Active,DAVIDA,30200,
BORN,5/5/05,OLATHE,KS,66062,Active,SVC,30200,
BORSN,4/4/05,OLATHE,KS,66062,Active,,30200,
BORST,10/5/18,SHAWNEE,KS,66226,Active,GABE,30200,
BOST,7/18/08,OVERLAND PARK,KS,66213,Inactive,,30200,
BOTR,6/22/07,OVERLAND PARK,KS,66210,Active,,30200,
BOTTB,11/15/04,OVERLAND PARK,KS,66221,Active,,30200,
BOUC,7/5/12,FAIRWAY,KS,66205,Active,GABE,30200,
BOUL,6/15/06,KANSAS CITY,MO,64105,Active,SNOW/GEORGE,30800,
BOULD,3/13/17,OVERLAND PARK,KS,66209,Active,TOM,30200,
BOULM,4/2/10,KANSAS CITY,MO,64108,Active,SNOW/TOM,30800,
BOUR,5/4/11,LEAWOOD,KS,66209,Active,ERICD,30200,
BOURR,4/30/03,OVERLAND PARK,KS,66062,Inactive,,30200,
BOUT,11/4/13,MISSION,KS,66205,Active,LARRY,30200,
BOVC,11/9/16,PRAIRIE VILLAGE,KS,66208,Active,TOM,30200,
BOVE,1/9/06,LEAWOOD,KS,66209,Active,LARRY,30200,
BOWE,4/4/11,OLATHE,KS,66061,Active,SVCB,30400,
BOWJ,9/27/04,OVERLAND PARK,KS,66213,Active,,30200,
BOWM,8/29/14,SHAWNEE,KS,66226,Active,THAYNE,30200,ANGIES LIST
BOWT,8/2/07,OVERLAND PARK,KS,66221,Inactive,,30200,
BOYC,10/26/12,LENEXA,KS,66220,Active,GABE,30200,
BOYD,11/1/06,OLATHE,KS,66062-5046,Active,,30200,
BOYDT,12/20/17,SHAWNEE,KS,66217,Active,GABE,30200,
BOYE,6/30/09,SHAWNEE,KS,66226,Active,LARRY,30200,
BOYJ,9/6/11,LEES SUMMIT,MO,64064,Active,,30200,
BOYS,4/18/12,PRAIRIE VILLAGE,KS,66208,Active,THAYNE,30200,
BPU,1/7/10,KANSAS CITY,KS,66104,Active,SNOW/GEORGE,30800,
BRAD,6/15/07,SHAWNEE,KS,66217,Active,,30200,
BRADC,5/17/12,KANSAS CITY,MO,64112,Active,LARRY,30200,
BRADJ,4/20/09,OVERLAND PARK,KS,66223,Active,,30200,
BRAK,10/20/09,OLATHE,KS,66061,Active,,30200,
BRAM,11/10/15,OVERLAND PARK,KS,66213,Active,TOM,30200,VALPAK
BRAME,8/27/19,DESOTO,KS,66018,Active,GABE,30200,
BRAN,3/7/03,BELTON,MO,64012,Active,LARRY,30100,
BRAND,6/2/06,KANSAS CITY,KS,66106,Active,,30200,
BRANK,4/11/12,KANSAS CITY,MO,64114,Inactive,TOM,30200,
